section,prompt,masked,answer,missing,term_id
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,p_r_r_,perera,eea,452deccfd47e64ca-19
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,pl_nt_,planta,aa,a5b2a2ea709fd606-20
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,t_rr_,terra,ea,b27cbc18ca129493-21
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_st_nd_rd,estendard,eea,c256a62ecede7825-22
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,s_rg_nt,sergent,ee,0b3a56ddecbefaa2-23
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_nyor_r,enyorar,ea,b2ceaf55854d936d-24
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,d_v_ll,davall,aa,5084769139a6447f-25
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_v_ri_,avaria,aaa,69397a18ca8ad303-26
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,mon_stir,monestir,e,215d47b4277affa8-27
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,d_v_nt_r,davanter,aae,9271dcc312f83dce-28
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_mb_ix_d_,ambaixada,aaaa,2b2606258d4f37bc-29
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_ss_mbl__,assemblea,aeea,a741a039c6e69889-30
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,r_ncor,rancor,a,59905af79502320b-31
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_ss_ssí,assassí,aa,328370d776253e24-32
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,_v_lu_ció,avaluació,aaa,4f1d186900a780d3-33
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,m_r_v_ll_,meravella,eaea,182cd34ac771ae3d-34
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,v_rnís,vernís,e,cebf9f26f51630bd-35
2. Escriu a o e segons pertoqui,2. Escriu a o e segons pertoqui,m_l_nconi_,malenconia,aea,b2ea822eacb1406a-36
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,tem_,tema,a,5a3b0b1be4b4d1c7-37
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,piràmid_,piràmide,e,59f1ac6eb0175513-38
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,ciclist_,ciclista,a,de3b2bdf32651524-39
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,colz_,colze,e,93465a4428125e11-40
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,dubt_,dubte,e,d058c9b4392de0e6-41
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,map_,mapa,a,50c34471630581b3-42
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,superfíci_,superfície,e,3977423fc19ec798-43
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,dilem_,dilema,a,69752aa53b7155dc-44
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,torr_,torre,e,bcedeb17837f9311-45
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,monarc_,monarca,a,71a24babb8c74d42-46
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,imatg_,imatge,e,e133451e46c360a8-47
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,dentist_,dentista,a,e2096c6d764daab8-48
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,polici_,policia,a,7ad796de939435a3-49
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,hipèrbol_,hipèrbole,e,fd7691e6453d2826-50
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,febr_,febre,e,74bb7822f9283072-51
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,homicid_,homicida,a,82e631f21ea751dd-52
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,sistem_,sistema,a,d026c4f0e7e11710-53
3. Escriu el singular de cada paraula,3. Escriu el singular de cada paraula,goril·l_,goril·la,a,f97ce8db526976a7-54
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,pl_tg_s,platges,ae,fd871b064c41136c-55
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,figu_s,figues,e,3d784d1bd08730a7-56
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,ill_nqu_s,illenques,ee,e5806e5cbd8e3b34-57
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,ll_ngü_s,llengües,ee,534f58a2e865ab0a-58
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,t_rong_s,taronges,ae,82667814484e60e7-59
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,coqu_s,coques,e,02164184c02715bc-60
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,pl_c_s,places,ae,d69b78fcb28e5541-61
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,_iviss_nqu_s,eivissenques,eee,a21af69a5aec8eba-62
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,_gü_s,egües,ee,3757ab894256aa36-63
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,gui_s,guies,e,57474a2694268015-64
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,botigu_s,botigues,e,55f69c0f6bb213bb-65
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,p_sqü_s,pasqües,ae,6ba02e0d59c1b7b4-66
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,_nv_g_s,enveges,eee,8966c6ca5aea4327-67
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,p_st_n_gu_s,pastanagues,aaae,39d72c02fb35da19-68
5. Forma el plural de les paraules següents,5. Forma el plural de les paraules següents,p_r_igü_s,paraigües,aae,a06af14e2e658423-69
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,_f_min_t,Efeminat,Eea,a418fe92af8e7671-70
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,Màrf_g_,Màrfega,ea,a822f562fe5cedbc-71
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,B_rnús,Barnús,a,63e41ef12494bcb4-72
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,_st_nd_rd,Estendard,Eea,8121196e6514eab9-73
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,V_rnís,Vernís,e,17ed91c28b0186bd-74
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,_nyor_dís,Enyoradís,Ea,e5cdc215190b50d6-75
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,_lcàss_r,Alcàsser,Ae,1733ffd880fbc26f-76
7. Escriu la paraula que correspon a cada definició,7. Escriu la paraula que correspon a cada definició,S_tí,Setí,e,dfe9ed64b2db4d89-77
8. Completa amb a o e les formes verbals,"Jo, en el teu cas, no faria cap passa debades",f_ria,faria,a,52ff5fb754f29f16-78
8. Completa amb a o e les formes verbals,"Quan em feies carusses, jo reia de valent",f_ies,feies,e,bbc02c18e7af48ea-79
8. Completa amb a o e les formes verbals,"Sempre que estiguis cansat, jeu",j_u,jeu,e,b2b65728176383e7-80
8. Completa amb a o e les formes verbals,No jaurem fins que hàgim caminat dues hores,j_urem,jaurem,a,d680f7187af3c819-81
8. Completa amb a o e les formes verbals,Si no vols treure mals resultats convé que facis la feina que et recomanen,tr_ure,treure,e,e7bd18451ada253c-82
8. Completa amb a o e les formes verbals,No traurem els ormejos al carrer fins que no ens ho ordeni la brigada,tr_urem,traurem,a,e2fe99128c6a41ff-83
8. Completa amb a o e les formes verbals,"Cada vegada que treu a passejar aquell ca, tothom es decanta per por",tr_u,treu,e,88e605b8fce33fa0-84
8. Completa amb a o e les formes verbals,"Si ella tragués la motxilla que li varen regalar, tothom l’escometria",tr_gués,tragués,a,8c13d584a38f3e56-85
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,b_llia,bullia,u,28363f675b610f63-86
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,m_rada,murada,u,680b8aac0f92041d-87
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,m_lí,molí,o,a9d810d4d0d139f8-88
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,p_dem,podem,o,906fe6429f4dddc8-89
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,b_cal,bucal,u,484325620d493737-90
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,d_plicar,duplicar,u,3a0fa3fa176bacf4-91
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,f_sió,fusió,u,09d945c637086b7b-92
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,pl_mífer,plumífer,u,bfb3c646ee013baa-93
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,men_rq_í,menorquí,ou,8e8f0e5bf31ad1a7-94
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,alve_lar,alveolar,o,277831d60310f7ef-95
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,c_nill,conill,o,cc7b20b3ab9ecfc6-96
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,c_sírem,cosírem,o,abe00390f7f6abc0-97
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,b_ca,boca,o,dbdcf34481c07a10-98
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,d_ble,doble,o,edd305429ea155ab-99
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,f_ndre,fondre,o,e2e8c56305a580e0-100
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,pl_ma,ploma,o,72dd391cd16e577f-101
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,j_garé,jugaré,u,55a2d31ccdcaee7f-102
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,m_ntanya,muntanya,u,185a56a256570900-103
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,s_rtim,sortim,o,bb9284cd63352644-104
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,c_llies,collies,o,6a8538bfb0135920-105
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,b_q_eta,boqueta,ou,846ba5d24208e4f0-106
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,d_blar,doblar,o,07b158d4a7d93ceb-107
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,f_nent,fonent,o,fc24f80131298d09-108
9. Omple els espais buits amb o o u segons correspongui,9. Omple els espais buits amb o o u segons correspongui,pl_matge,plomatge,o,6e19e90d24d53a9b-109
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,concurs__,concursos,os,0ddf6bcf85af70bc-110
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,braç__,braços,os,b964321fcabca251-111
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,disc__,discos,os,649699309bdb525a-112
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,disc_,discs,s,e40e2cd1ccc765aa-113
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,guix__,guixos,os,8a58b3f256dc03a8-114
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,europe__,europeus,us,7b8ec3acda84f904-115
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,ferr__,ferros,os,3e235bc80359d5c4-116
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,monj__,monjos,os,b0b0e833bd926b27-117
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,númer__,números,os,3e147485ae26cc6d-118
10. Forma el plural dels mots següents,10. Forma el plural dels mots següents,trine__,trineus,us,fb4247b79188164f-119
