section,prompt,masked,answer,missing,term_id
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___única,l’única,l’,a588cd6794f6040b-24
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___informe,L’informe,L’,3a783aacf902dcf0-25
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ urbanització,la urbanització,la,6ef7ed9c5ebeb7c1-26
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___indi,l’indi,l’,a58f7b95670ce877-27
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___hivern,l’hivern,l’,6fc6868c82872cd9-28
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ historiadora,la historiadora,la,1e5e81bffad77b9b-29
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___histèric,l’histèric,l’,757073d938b261dd-30
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ uniformitat,la uniformitat,la,85d256ba4c21777d-31
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ urbanitat,la urbanitat,la,ef6001004a4bfd88-32
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___índia,l’índia,l’,56b04fd6b099630b-33
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___hivernacle,l’hivernacle,l’,6953695f1492cc63-34
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___historiador,l’historiador,l’,1df37069d9099997-35
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___illot,l’illot,l’,f323c73b7f45ad89-36
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ infàmia,la infàmia,la,fa2989f467930922-37
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ independència,la independència,la,95b74713a4f6586d-38
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___individu,l’individu,l’,7cf8b78041c35763-39
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ hivernació,la hivernació,la,7dcdc0c339263b9e-40
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ histèria,la histèria,la,25e8cfbd1a8c4513-41
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___illenc,l’illenc,l’,9782ef2b3a6c4218-42
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___urbanisme,l’urbanisme,l’,60f710f4bea61e92-43
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ indicació,la indicació,la,5199895791f383ff-44
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ individualitat,la individualitat,la,50d9be2dd639a005-45
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ història,la història,la,52818b834ed557b1-46
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ histèrica,la histèrica,la,2230b24cbebb61a5-47
2. Escriu la forma de l'article corresponent,2. Escriu la forma de l'article corresponent,___ illenca,la illenca,la,addaf3c3febfc2de-48
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___Hug,N’Hug,N’,374d275c88ba5fdf-49
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ Hilària,na Hilària,na,00cd5739a2447c9f-50
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ESO,l’ESO,l’,b883f725845b74f4-51
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ONU,l’ONU,l’,8285510e16fd836d-52
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___XI,l’XI,l’,5717ac1af3aea5cd-53
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ essa,la essa,la,57e37a50256d2847-54
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ asimetria,la asimetria,la,aa6245a70b2b6e92-55
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___Ulisses,n’Ulisses,n’,3598cca1c84d8763-56
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___Imma,n’Imma,n’,0dfb442d7d2ecffb-57
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ UEFA,la UEFA,la,29a9accad9c4802a-58
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___AVE,l’AVE,l’,842fa5616dcdeab2-59
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ handicap,el handicap,el,486be4e67687bb54-60
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ i grega,la i grega,la,1a30bd82182d48f5-61
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ il·lusió,la il·lusió,la,0a6c7dcc2524e5b4-62
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___Úrsula,n’Úrsula,n’,c5eb4d9390bd4933-63
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___Olga,n’Olga,n’,56b4a6b0497d53f9-64
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ UIB,la UIB,la,38d47fcc19ff0980-65
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ DNI,el DNI,el,9a783bbfdf265121-66
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ iot,el iot,el,a57bb1ef0f0a96f7-67
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ ela,la ela,la,950593879fa8d467-68
4. Escriu davant cada mot l'article corresponent,4. Escriu davant cada mot l'article corresponent,___ hisenda,la hisenda,la,bdcc2917abb3b7aa-69
5. Posa la preposició de o d' en els espais en blanc,5. Posa la preposició de o d' en els espais en blanc,Bosc ___ hienes,Bosc de hienes,de,d5c7ef70cad8d259-70
5. Posa la preposició de o d' en els espais en blanc,5. Posa la preposició de o d' en els espais en blanc,Vall ___Incles,Vall d’Incles,d’,1680669c83ab7a2b-71
5. Posa la preposició de o d' en els espais en blanc,5. Posa la preposició de o d' en els espais en blanc,davant ___ essa,davant de essa,de,a8b7ed6f2d459b29-72
5. Posa la preposició de o d' en els espais en blanc,5. Posa la preposició de o d' en els espais en blanc,sessió ___ ioga,sessió de ioga,de,03eb874c5d47a352-73
5. Posa la preposició de o d' en els espais en blanc,5. Posa la preposició de o d' en els espais en blanc,una actriu ___ Hollywood,una actriu de Hollywood,de,b628a2a4179b8d72-74
5. Posa la preposició de o d' en els espais en blanc,5. Posa la preposició de o d' en els espais en blanc,test ___intel·ligència,test d’intel·ligència,d’,57cc364c63cde371-75
6. Reescriu correctament les oracions següents,L’índia que va venir de l’Àsia s’està a ca n’Antoni,___índia,L’índia,L’,2c7811148c23da81-76
6. Reescriu correctament les oracions següents,L’índia que va venir de l’Àsia s’està a ca n’Antoni,___Àsia,l’Àsia,l’,16201551fbe8a3d9-77
6. Reescriu correctament les oracions següents,L’índia que va venir de l’Àsia s’està a ca n’Antoni,___està,s’està,s’,79b2125e3d6563d8-78
6. Reescriu correctament les oracions següents,L’índia que va venir de l’Àsia s’està a ca n’Antoni,___Antoni,n’Antoni,n’,9574a97feed7c7e5-79
6. Reescriu correctament les oracions següents,L’home de l’abric no vol saber res de la història,___home,L’home,L’,838821b22a41d973-80
6. Reescriu correctament les oracions següents,L’home de l’abric no vol saber res de la història,___abric,l’abric,l’,870eb56445d8beb6-81
6. Reescriu correctament les oracions següents,"Si vols que l’anorac s’eixugui a l’aire i no es faci malbé, l’hauràs d’estendre a l’ombra",___anorac,l’anorac,l’,375b4973f95d948c-82
6. Reescriu correctament les oracions següents,"Si vols que l’anorac s’eixugui a l’aire i no es faci malbé, l’hauràs d’estendre a l’ombra",___eixugui,s’eixugui,s’,b656286c2672428f-83
6. Reescriu correctament les oracions següents,"Si vols que l’anorac s’eixugui a l’aire i no es faci malbé, l’hauràs d’estendre a l’ombra",___aire,l’aire,l’,cbb3b993d5ce8950-84
6. Reescriu correctament les oracions següents,"Si vols que l’anorac s’eixugui a l’aire i no es faci malbé, l’hauràs d’estendre a l’ombra",___hauràs,l’hauràs,l’,fb50da1af572e854-85
6. Reescriu correctament les oracions següents,"Si vols que l’anorac s’eixugui a l’aire i no es faci malbé, l’hauràs d’estendre a l’ombra",___estendre,d’estendre,d’,85d053958581d33c-86
6. Reescriu correctament les oracions següents,"Si vols que l’anorac s’eixugui a l’aire i no es faci malbé, l’hauràs d’estendre a l’ombra",___ombra,l’ombra,l’,e0ed1a9205b86ff3-87
6. Reescriu correctament les oracions següents,Al final de l’etapa van explicar-ho tot al director,___etapa,l’etapa,l’,1dd0d38419b98834-88
6. Reescriu correctament les oracions següents,Al final de l’etapa van explicar-ho tot al director,___,Al,Al,7ee4c4e0353fe3a0-89
6. Reescriu correctament les oracions següents,Al final de l’etapa van explicar-ho tot al director,___,al,al,be2d0f5ac5e5d26f-90
6. Reescriu correctament les oracions següents,Treballa a la impremta del seu amic,___,del,del,d6136b8c63863349-91
6. Reescriu correctament les oracions següents,Ha vengut pel camí dels tarongers,___,pel,pel,fcc90918c27ab3fc-92
6. Reescriu correctament les oracions següents,Ha vengut pel camí dels tarongers,___,dels,dels,8d094c615279476a-93
6. Reescriu correctament les oracions següents,"En sortir de l’oficina, passejaré per l’avinguda amb na Irene",___oficina,l’oficina,l’,e412348fad3ac804-94
6. Reescriu correctament les oracions següents,"En sortir de l’oficina, passejaré per l’avinguda amb na Irene",___avinguda,l’avinguda,l’,1c047af262c88d59-95
6. Reescriu correctament les oracions següents,"En sortir de l’oficina, passejaré per l’avinguda amb na Irene",___ Irene,na Irene,na,a1ab521aa1699301-96
6. Reescriu correctament les oracions següents,Passen per l’hort d’en Tomeu i després pels horts de n’Enric,___hort,l’hort,l’,6089c7eb4a91c5eb-97
6. Reescriu correctament les oracions següents,Passen per l’hort d’en Tomeu i després pels horts de n’Enric,___en,d’en,d’,8af2083aa6be5d7d-98
6. Reescriu correctament les oracions següents,Passen per l’hort d’en Tomeu i després pels horts de n’Enric,___Enric,n’Enric,n’,b22366f550b9e389-99
6. Reescriu correctament les oracions següents,Passen per l’hort d’en Tomeu i després pels horts de n’Enric,___,pels,pels,af94c35ab9e1fe03-100
6. Reescriu correctament les oracions següents,Per l’armari s’obria una porta d’entrada al passadís secret,___armari,l’armari,l’,a2e35f3e043c9f39-101
6. Reescriu correctament les oracions següents,Per l’armari s’obria una porta d’entrada al passadís secret,___obria,s’obria,s’,707b67c84a6ce98a-102
6. Reescriu correctament les oracions següents,Per l’armari s’obria una porta d’entrada al passadís secret,___entrada,d’entrada,d’,29a1ff5cc1c6824f-103
6. Reescriu correctament les oracions següents,Per l’armari s’obria una porta d’entrada al passadís secret,___,al,al,d983db38dfd373e9-104
6. Reescriu correctament les oracions següents,"No s’ha pres el iogurt, però s’ha menjat l’ensaïmada de n’Aina",___ha,s’ha,s’,487b87f379a63b8d-105
6. Reescriu correctament les oracions següents,"No s’ha pres el iogurt, però s’ha menjat l’ensaïmada de n’Aina",___ensaïmada,l’ensaïmada,l’,29b0e7d9f7e5fe95-106
6. Reescriu correctament les oracions següents,"No s’ha pres el iogurt, però s’ha menjat l’ensaïmada de n’Aina",___Aina,n’Aina,n’,d2ba5d2747aad46d-107
6. Reescriu correctament les oracions següents,Aquest és l’únic amic de l’amo de l’hotel,___únic,l’únic,l’,d08ffd2c0e31b9db-108
6. Reescriu correctament les oracions següents,Aquest és l’únic amic de l’amo de l’hotel,___amo,l’amo,l’,19ffe69eb7a55046-109
6. Reescriu correctament les oracions següents,Aquest és l’únic amic de l’amo de l’hotel,___hotel,l’hotel,l’,0fee645e36b47644-110
"7. Completa els textos amb articles, preposicions o contraccions","L’altre dia na Isabel va venir ca nostra. Celebràvem l’aniversari de n’Íngrid. Ningú no l’esperava, però",___altre,L’altre,L’,89840be880892ab9-111
"7. Completa els textos amb articles, preposicions o contraccions","L’altre dia na Isabel va venir ca nostra. Celebràvem l’aniversari de n’Íngrid. Ningú no l’esperava, però",___aniversari,l’aniversari,l’,28b41183c3f0bceb-112
"7. Completa els textos amb articles, preposicions o contraccions","L’altre dia na Isabel va venir ca nostra. Celebràvem l’aniversari de n’Íngrid. Ningú no l’esperava, però",___Íngrid,n’Íngrid,n’,00801a0c4e3c4ee4-113
"7. Completa els textos amb articles, preposicions o contraccions","L’altre dia na Isabel va venir ca nostra. Celebràvem l’aniversari de n’Íngrid. Ningú no l’esperava, però",___esperava,l’esperava,l’,251cc6168797681c-114
"7. Completa els textos amb articles, preposicions o contraccions","L’altre dia na Isabel va venir ca nostra. Celebràvem l’aniversari de n’Íngrid. Ningú no l’esperava, però",___ Isabel,na Isabel,na,216814191829d5fb-115
"7. Completa els textos amb articles, preposicions o contraccions","va arribar acompanyada d’un amic seu, n’Hug, que és d’ Holanda, però viu a l’illa des que tenia tres",___un,d’un,d’,a01af8cea78cef28-116
"7. Completa els textos amb articles, preposicions o contraccions","va arribar acompanyada d’un amic seu, n’Hug, que és d’ Holanda, però viu a l’illa des que tenia tres",___Hug,n’Hug,n’,36c7586e393918e6-117
"7. Completa els textos amb articles, preposicions o contraccions","va arribar acompanyada d’un amic seu, n’Hug, que és d’ Holanda, però viu a l’illa des que tenia tres",___illa,l’illa,l’,51cfc067ffdb0eeb-118
"7. Completa els textos amb articles, preposicions o contraccions","Quan vaig acabar l’ESO els pares em van felicitar i em van donar un premi. L’esforç no era pel regal,",___ESO,l’ESO,l’,a3f991171458fa61-119
"7. Completa els textos amb articles, preposicions o contraccions","Quan vaig acabar l’ESO els pares em van felicitar i em van donar un premi. L’esforç no era pel regal,",___esforç,L’esforç,L’,6a3bbc13755e290e-120
"7. Completa els textos amb articles, preposicions o contraccions","Quan vaig acabar l’ESO els pares em van felicitar i em van donar un premi. L’esforç no era pel regal,",___,pel,pel,69a4fed51826c5c6-121
"7. Completa els textos amb articles, preposicions o contraccions",sinó perquè vull estudiar a la UIB d’aquí a dos anys,___aquí,d’aquí,d’,d6150962a324aa64-122
"7. Completa els textos amb articles, preposicions o contraccions",Na Irene va sortir de l’habitació plorant. Havia llegit l’escrit que li havia enviat la seva amiga per,___habitació,l’habitació,l’,4ee2908d759729cc-123
"7. Completa els textos amb articles, preposicions o contraccions",Na Irene va sortir de l’habitació plorant. Havia llegit l’escrit que li havia enviat la seva amiga per,___escrit,l’escrit,l’,97989de630df3656-124
"7. Completa els textos amb articles, preposicions o contraccions",correu electrònic. Va seure davall de l’arbre del jardí i no va entrar fins a l’hora de sopar,___arbre,l’arbre,l’,29571d03465fcee4-125
"7. Completa els textos amb articles, preposicions o contraccions",correu electrònic. Va seure davall de l’arbre del jardí i no va entrar fins a l’hora de sopar,___hora,l’hora,l’,725b595c068f9c9b-126
"7. Completa els textos amb articles, preposicions o contraccions",correu electrònic. Va seure davall de l’arbre del jardí i no va entrar fins a l’hora de sopar,___,del,del,9c97be50455f982b-127
"7. Completa els textos amb articles, preposicions o contraccions","L’obrer ha vingut a revisar la instal·lació del gas. L’any passat no va venir el mateix, sinó un altre al·lot",___obrer,L’obrer,L’,ca84d6f496a019cf-128
"7. Completa els textos amb articles, preposicions o contraccions","L’obrer ha vingut a revisar la instal·lació del gas. L’any passat no va venir el mateix, sinó un altre al·lot",___any,L’any,L’,2a103aa92de8b98d-129
"7. Completa els textos amb articles, preposicions o contraccions","L’obrer ha vingut a revisar la instal·lació del gas. L’any passat no va venir el mateix, sinó un altre al·lot",___,del,del,8b683e17d50b3d60-130
"7. Completa els textos amb articles, preposicions o contraccions","L’obrer ha vingut a revisar la instal·lació del gas. L’any passat no va venir el mateix, sinó un altre al·lot",___,al,al,3550905bd39ef1ce-131
"7. Completa els textos amb articles, preposicions o contraccions","d’Ucraïna que havia vengut al juliol i vivia a l’edifici on viu n’Imma, l’al·lota que surt amb l’infermer amic",___Ucraïna,d’Ucraïna,d’,1261001ca4a0a7f9-132
"7. Completa els textos amb articles, preposicions o contraccions","d’Ucraïna que havia vengut al juliol i vivia a l’edifici on viu n’Imma, l’al·lota que surt amb l’infermer amic",___edifici,l’edifici,l’,eb42803764fe111d-133
"7. Completa els textos amb articles, preposicions o contraccions","d’Ucraïna que havia vengut al juliol i vivia a l’edifici on viu n’Imma, l’al·lota que surt amb l’infermer amic",___Imma,n’Imma,n’,8f8cf1a7c8fa38e4-134
"7. Completa els textos amb articles, preposicions o contraccions","d’Ucraïna que havia vengut al juliol i vivia a l’edifici on viu n’Imma, l’al·lota que surt amb l’infermer amic",___al·lota,l’al·lota,l’,f8d08e32faf1fa16-135
"7. Completa els textos amb articles, preposicions o contraccions","d’Ucraïna que havia vengut al juliol i vivia a l’edifici on viu n’Imma, l’al·lota que surt amb l’infermer amic",___infermer,l’infermer,l’,8ea4a4d1d7660463-136
"7. Completa els textos amb articles, preposicions o contraccions","d’Ucraïna que havia vengut al juliol i vivia a l’edifici on viu n’Imma, l’al·lota que surt amb l’infermer amic",___,al,al,241d71edfac303fa-137
"7. Completa els textos amb articles, preposicions o contraccions",L’hivern passat vàrem fer un viatge per diverses ciutats d’Hongria. Tot i que vàrem passar una mica,___hivern,L’hivern,L’,80cc7a1798e2e53b-138
"7. Completa els textos amb articles, preposicions o contraccions",L’hivern passat vàrem fer un viatge per diverses ciutats d’Hongria. Tot i que vàrem passar una mica,___Hongria,d’Hongria,d’,dbb3f63a1cc4526d-139
"7. Completa els textos amb articles, preposicions o contraccions","de fred, va ser molt divertit. L’autocar en què ens desplaçàvem era còmode i a la nit a l’hotel ho",___autocar,L’autocar,L’,6e4a4e32e43417ff-140
"7. Completa els textos amb articles, preposicions o contraccions","de fred, va ser molt divertit. L’autocar en què ens desplaçàvem era còmode i a la nit a l’hotel ho",___hotel,l’hotel,l’,456227937c238092-141
"7. Completa els textos amb articles, preposicions o contraccions",passàvem molt bé mirant l’alegria amb què diversos ciutadans de la UE ballaven i cantaven,___alegria,l’alegria,l’,06a6a4ed7ad784ce-142
"7. Completa els textos amb articles, preposicions o contraccions",Quan sortiré de l’institut aniré al port a cercar el pare. Tots dos hem d’anar a passar la ITV del cotxe,___institut,l’institut,l’,ab18691a743c525c-143
"7. Completa els textos amb articles, preposicions o contraccions",Quan sortiré de l’institut aniré al port a cercar el pare. Tots dos hem d’anar a passar la ITV del cotxe,___anar,d’anar,d’,4e04e3f702ff85d5-144
"7. Completa els textos amb articles, preposicions o contraccions",Quan sortiré de l’institut aniré al port a cercar el pare. Tots dos hem d’anar a passar la ITV del cotxe,___,al,al,f72738459b46d4b6-145
"7. Completa els textos amb articles, preposicions o contraccions",Quan sortiré de l’institut aniré al port a cercar el pare. Tots dos hem d’anar a passar la ITV del cotxe,___,del,del,40c9ff7a5f892b86-146
"7. Completa els textos amb articles, preposicions o contraccions","amb n’Ignasi, l’al·lot que viu amb els padrins a la caseta que tenen a s’Illot",___Ignasi,n’Ignasi,n’,b62425a46a86b595-147
"7. Completa els textos amb articles, preposicions o contraccions","amb n’Ignasi, l’al·lot que viu amb els padrins a la caseta que tenen a s’Illot",___al·lot,l’al·lot,l’,0c92c94a7af5392d-148
"7. Completa els textos amb articles, preposicions o contraccions","amb n’Ignasi, l’al·lot que viu amb els padrins a la caseta que tenen a s’Illot",___Illot,s’Illot,s’,5b9cc5d8ccb40f39-149
"7. Completa els textos amb articles, preposicions o contraccions","amb n’Ignasi, l’al·lot que viu amb els padrins a la caseta que tenen a s’Illot",___,al,al,b4ffa4645c46a160-150
