section,prompt,masked,answer,missing,term_id
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,andal_s,andalús,ú,ef5792f3627f5e34-28
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,gat_,gató,ó,e7f6f2f9b2e87e3d-29
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,vir_s,virus,u,7670be1c1251992f-30
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,_mnibus,òmnibus,ò,5fcf166846a61b99-31
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,resum_r,resumir,i,a6d852a0680456f5-32
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,apendicit_s,apendicitis,i,0f513a38655545b5-33
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,p_s,pus,u,3d01445cc9f67395-34
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,trast_r,traster,e,03a1d5937b559b54-35
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,rep_s,repòs,ò,494ecc1bfb29bc1a-36
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,desgu_s,desguàs,à,9b270b022cee569f-37
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,tel_fons,telèfons,è,a10b4f90a5149a1d-38
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,gimn_stica,gimnàstica,à,ee0d0426ab1a3d06-39
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,_pica,èpica,è,0bef16310c39d465-40
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,bale_r,balear,a,69993ccc512ae278-41
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,env_s,envàs,à,07727717a332762d-42
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,semit_,semitò,ò,81e483dffaa4d424-43
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,llav_rs,llavors,o,9ed7ec7913d5b085-44
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,m_r,mar,a,3c858ee91307ca5d-45
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,quil_metre,quilòmetre,ò,8f2eece5016cfae8-46
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,_ltima,última,ú,beccd1ee1ea85ca2-47
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,substanci_s,substanciós,ó,805d3cf0177a655a-48
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,Ignor_ncia,Ignorància,à,c24d9d21b9ce86ad-49
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,p_rdua,pèrdua,è,e3dc4ec3d00a3c1e-50
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,acrob_cia,acrobàcia,à,3a57ea52c455a41e-51
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,perp_tua,perpètua,è,06a55cb025f83892-52
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,burocr_cia,burocràcia,à,2a77f317305ec20e-53
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,toler_ncia,tolerància,à,0d1b86982dc26266-54
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,farm_cia,farmàcia,à,9e7d713559b6a8c5-55
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,tam_ndua,tamàndua,à,e0a0db847adfb617-56
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,b_stia,bústia,ú,66ad8535e79c565e-57
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,Finl_ndia,Finlàndia,à,4df4e1c43c12748a-58
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,Pol_nia,Polònia,ò,0d40358efdfbc093-59
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,prud_ncia,prudència,è,7b0753fe1b77a8f9-60
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,pres_ncia,presència,è,f1124e30bc3dda19-61
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,est_tua,estàtua,à,b886ca6f6e6990e8-62
2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,2. Totes aquestes paraules duen accent gràfic. Posa-l'hi,com_dia. justifica9l en cada cas,comèdia. justifica9l en cada cas,è,f453cc6fd6c943cb-63
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,Helico_dal,Helicoïdal,ï,60a13a04c15f9b5a-64
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,seq__ncia,seqüència,üè,8b287cc8948176f2-65
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,agra_t,agraït,ï,200c451a593e3279-66
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,q_esti_,qüestió,üó,c417555f6c5f63d8-67
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,ensa_mada,ensaïmada,ï,99f495686cdf05b0-68
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,jo estudi_,jo estudiï,ï,02dfd1f246d10dbc-69
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,delinq_ent,delinqüent,ü,7c3947b2e360b327-70
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,cru_lla,cruïlla,ï,19a791af771634a8-71
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,exig_itat,exigüitat,ü,a3f800b977dd93a3-72
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,seg_ent,següent,ü,649e08e6985051f3-73
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,ping__,pingüí,üí,22df30457064518f-74
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,substitu_ble,substituïble,ï,defcf2b9671b44ea-75
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,cafe_na,cafeïna,ï,7bd64b31de63246e-76
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,aig_es,aigües,ü,d1fcf4e2be984d28-77
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,tra_doria,traïdoria,ï,83b66e3dc417ad8c-78
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,prote_na,proteïna,ï,4d228b0e4fb74f72-79
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,ingenu_tat,ingenuïtat,ï,1532194ff04a59b5-80
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,pitu_t_ria,pituïtària,ïà,da91d955d3c341f4-81
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,ling__stica,lingüística,üí,37d5e7a82256f816-82
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,pirag_isme,piragüisme,ü,85e478531debdfaa-83
4. Posa la dièresi en les paraules següents,4. Posa la dièresi en les paraules següents,tu obe_es,tu obeïes,ï,0a97c71418734ccb-84
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",Pe_c,Peüc,ü,af867b5b32dc764e-85
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",equit_t,equitat,a,4221211d922acc20-86
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",igualt_t,igualtat,a,e2d6d5c6a8052a72-87
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",guine_,guineu,u,8f331e3c8ce5b42a-88
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",agraire_,agraireu,u,33b4f025672d4660-89
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",ventr_loqua,ventríloqua,í,71d95002e1db005b-90
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",genu_na,genuïna,ï,a454e3aa10d9bb94-91
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",ra_m,raïm,ï,1a82ca707213ca3c-92
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",aig_era,aigüera,ü,f74081f88fbfcebd-93
"6. Corregeix aquestes paraules, si cal","6. Corregeix aquestes paraules, si cal",algu_s,algues,e,435e4e60f51de136-94
3. Accent diacrític: parelles de paraules,sòl/sol,s_l,sòl,ò,3a87e2f2dd9867d5-95
3. Accent diacrític: parelles de paraules,sòl/sol,s_l,sol,o,5326c467ae1c8484-96
3. Accent diacrític: parelles de paraules,mà/ma,m_,mà,à,ed58faec87871825-97
3. Accent diacrític: parelles de paraules,mà/ma,m_,ma,a,ba82a1e0b6c720af-98
3. Accent diacrític: parelles de paraules,món/mon,m_n,món,ó,b75cc5f77cfbce7f-99
3. Accent diacrític: parelles de paraules,món/mon,m_n,mon,o,934c1ef46b7ded3b-100
3. Accent diacrític: parelles de paraules,sé/se,s_,sé,é,1646bf9abb39b3a0-101
3. Accent diacrític: parelles de paraules,sé/se,s_,se,e,8425d856a8ad828d-102
3. Accent diacrític: parelles de paraules,té/te,t_,té,é,c892076fd1ccca48-103
3. Accent diacrític: parelles de paraules,té/te,t_,te,e,5ab357b6bbf09aa4-104
3. Accent diacrític: parelles de paraules,vós/vos,v_s,vós,ó,5390ac2fbcc37c06-105
3. Accent diacrític: parelles de paraules,vós/vos,v_s,vos,o,2f563d84c3a9ab3d-106
3. Accent diacrític: parelles de paraules,és/es,_s,és,é,c2661efc5ebf6718-107
3. Accent diacrític: parelles de paraules,és/es,_s,es,e,7197c9fff9e9a02d-108
3. Accent diacrític: parelles de paraules,més/mes,m_s,més,é,7b2f2eabc16eec7a-109
3. Accent diacrític: parelles de paraules,més/mes,m_s,mes,e,57851bb991643fe2-110
3. Accent diacrític: parelles de paraules,què/que,qu_,què,è,37495e7ae94c3f9d-111
3. Accent diacrític: parelles de paraules,què/que,qu_,que,e,119bd335cd2ff8ef-112
3. Accent diacrític: parelles de paraules,són/son,s_n,són,ó,b199f6b1e863b5a4-113
3. Accent diacrític: parelles de paraules,són/son,s_n,son,o,e42f51eb827adad7-114
3. Accent diacrític: parelles de paraules,ús/us,_s,ús,ú,e2944e1908431c13-115
3. Accent diacrític: parelles de paraules,ús/us,_s,us,u,bc9fad193acf0ac8-116
3. Accent diacrític: parelles de paraules,bé/be,b_,bé,é,3979e86efdc44dfc-117
3. Accent diacrític: parelles de paraules,bé/be,b_,be,e,1341028bbc56c573-118
7. Posa accent o dièresi on calgui,Els teus veïnats venen tots els dies al mercat i venen fruita i arròs,ve_nats,veïnats,ï,ae7b991de7ddcd17-119
7. Posa accent o dièresi on calgui,Els teus veïnats venen tots els dies al mercat i venen fruita i arròs,ven_n,venen,e,d84497715a96c6db-120
7. Posa accent o dièresi on calgui,Els teus veïnats venen tots els dies al mercat i venen fruita i arròs,arr_s,arròs,ò,cc503bbd2f36e22e-121
7. Posa accent o dièresi on calgui,En segon curs de diürn no traduïu tant com en nocturn,di_rn,diürn,ü,b0c5dd741d08ce60-122
7. Posa accent o dièresi on calgui,En segon curs de diürn no traduïu tant com en nocturn,tradu_u,traduïu,ï,a832b21b4fb7d98f-123
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,Llu_sa,Lluïsa,ï,fd8549cb2dc316d1-124
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,_s,és,é,8411e3837c1d7757-125
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,ling_istes,lingüistes,ü,6a156ceeee620992-126
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,m_s,més,é,b0c99d6f5dd33734-127
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,eloq_ents,eloqüents,ü,2f07d35cd7292f50-128
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,pa_sos,països,ï,2e624e4ca06daa26-129
7. Posa accent o dièresi on calgui,Na Lluïsa és una de les lingüistes més eloqüents de tots els països del món,m_n,món,ó,71eef1e361c10ce1-130
7. Posa accent o dièresi on calgui,"A conseqüència de la seva ingenuïtat, l’últim distribuïdor ha reduït molt les vendes de cafè molt",conseq__ncia,conseqüència,üè,cb647159ad887f0a-131
7. Posa accent o dièresi on calgui,"A conseqüència de la seva ingenuïtat, l’últim distribuïdor ha reduït molt les vendes de cafè molt",ingenu_tat,ingenuïtat,ï,8a58bc1f20a05e6b-132
7. Posa accent o dièresi on calgui,"A conseqüència de la seva ingenuïtat, l’últim distribuïdor ha reduït molt les vendes de cafè molt",l’_ltim,l’últim,ú,95148a3f3822a819-133
7. Posa accent o dièresi on calgui,"A conseqüència de la seva ingenuïtat, l’últim distribuïdor ha reduït molt les vendes de cafè molt",distribu_dor,distribuïdor,ï,58835717c0b4202d-134
7. Posa accent o dièresi on calgui,"A conseqüència de la seva ingenuïtat, l’últim distribuïdor ha reduït molt les vendes de cafè molt",redu_t,reduït,ï,5683837a765d0b9a-135
7. Posa accent o dièresi on calgui,"A conseqüència de la seva ingenuïtat, l’últim distribuïdor ha reduït molt les vendes de cafè molt",caf_,cafè,è,62293d6ca3192541-136
7. Posa accent o dièresi on calgui,"Soc orgullós i egoista; però, la meva dona dona tot el que té",S_c,Soc,o,f53b21e535486f3d-137
7. Posa accent o dièresi on calgui,"Soc orgullós i egoista; però, la meva dona dona tot el que té",orgull_s,orgullós,ó,b94b5e25be81c2a3-138
7. Posa accent o dièresi on calgui,"Soc orgullós i egoista; però, la meva dona dona tot el que té",egoist_,egoista,a,57a917405fe5bce6-139
7. Posa accent o dièresi on calgui,"Soc orgullós i egoista; però, la meva dona dona tot el que té",per_,però,ò,1aa9a0cde9a6d76e-140
7. Posa accent o dièresi on calgui,"Soc orgullós i egoista; però, la meva dona dona tot el que té",don_,dona,a,795a538f7d723f82-141
7. Posa accent o dièresi on calgui,"Soc orgullós i egoista; però, la meva dona dona tot el que té",t_,té,é,70a66b0ce9892052-142
7. Posa accent o dièresi on calgui,Vas trobar la meva veïnada al jardí de l’església,ve_nada,veïnada,ï,b148cea68bec8b36-143
7. Posa accent o dièresi on calgui,Vas trobar la meva veïnada al jardí de l’església,jard_,jardí,í,05008736efa23195-144
7. Posa accent o dièresi on calgui,Vas trobar la meva veïnada al jardí de l’església,l’esgl_sia,l’església,é,42dfa7c02ffc9c41-145
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,contribu_a,contribuïa,ï,a551a241aaa8c308-146
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,seg_n,segon,o,4adfeda7e51b7dc9-147
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,egoism_,egoisme,e,9041ce48b6dedcfa-148
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,erron_,erroni,i,8cec3bddcd55d2d0-149
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,g_bia,gàbia,à,32e01c0ae1101f42-150
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,eivissenc_,eivissenca,a,6882960f2507c19a-151
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,finestr_,finestra,a,8a316054711be134-152
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,male_nt,maleint,i,0daf6ded8b33b7d7-153
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,ve_na,veïna,ï,9d8b91a62fe315cd-154
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,acabar_n,acabaran,a,d35bdf6b1f9e73f7-155
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,filosofi_,filosofia,a,090f1f8ae364166d-156
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,preni_s,prenies,e,4bae54ba6692ec11-157
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,redu_r,reduir,i,bf13d92d63fc24d3-158
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,esp_r,esper,e,b614ee6e468e4c9d-159
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,_veu,àveu,à,8eb09d8206343006-160
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,just_cia,justícia,í,c7c4b500aea7cfda-161
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,constru_ble,construïble,ï,4e7ea52ae2f8b1de-162
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,hero_citat,heroïcitat,ï,f9a29b36d25ef5c2-163
8. Posa accent o dièresi on calgui,8. Posa accent o dièresi on calgui,esfero_dal,esferoïdal,ï,5b2288173d911046-164
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",agra_es,agraïes,ï,5a24f6595ce70bcf-165
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",arg_ir,argüir,ü,39fe0db839dfee90-166
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",ling_istes,lingüistes,ü,3dcae086c822706f-167
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",qualific_r,qualificar,a,bd61e1baf6008407-168
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",ru_na,ruïna,ï,8b6e844e8abb13b3-169
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",su_ssa,suïssa,ï,e116dae929afc92c-170
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",ra_m,raïm,ï,8c2083f98aab981b-171
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",hero_na,heroïna,ï,c4b2a2b89d09319e-172
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",agra_da,agraïda,ï,6b050661bdb7e7c1-173
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",reincid_r,reincidir,i,12f634782f8fda0c-174
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",autointoxic_t,autointoxicat,a,949c51eaf725121c-175
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",coincid_ncia,coincidència,è,974bea6ff5a85695-176
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",tradu_ble,traduïble,ï,6215a2750c70c8b0-177
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",llu_ment,lluïment,ï,9837fe74379f6ddc-178
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",europe_tzar,europeïtzar,ï,0b8aeb4841b76a1b-179
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",continu_tat,continuïtat,ï,8c819dfc2f52085b-180
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",femine_tat,femineïtat,ï,9bdaf3bac2805c72-181
"9. Posa dièresi, si cal, en les paraules següents","9. Posa dièresi, si cal, en les paraules següents",egoist_,egoista,a,51a14e2c1818670c-182
