section,prompt,masked,answer,missing,term_id
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",tinen_a,tinença,ç,7c532bf088f0fc5e-74
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",sen_er,sencer,c,a54f2b406ef45c87-75
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",descal_,descalç,ç,da9d2d4a02762730-76
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",inèr_ia,inèrcia,c,fd0eea500596593f-77
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",recan_es,recances,c,ec6fdff2f624aff3-78
"7. Copia les oracions i completa-les amb s, ss, c o ç",En Vicent diu que en l’entresòl viu massa gent.,Vi_ent,Vicent,c,81fb2244d9fe5809-79
"7. Copia les oracions i completa-les amb s, ss, c o ç",En Vicent diu que en l’entresòl viu massa gent.,entre_òl,entresòl,s,7c8551771801fa27-80
"7. Copia les oracions i completa-les amb s, ss, c o ç",En Vicent diu que en l’entresòl viu massa gent.,ma__a,massa,ss,4ee3c6e047949029-81
"7. Copia les oracions i completa-les amb s, ss, c o ç",En acabar la lliçó faran un assaig de la cançó de l’excursió.,lli_ó,lliçó,ç,64bce0dd3ee267ee-82
"7. Copia les oracions i completa-les amb s, ss, c o ç",En acabar la lliçó faran un assaig de la cançó de l’excursió.,a__aig,assaig,ss,b4952b3f43741747-83
"7. Copia les oracions i completa-les amb s, ss, c o ç",En acabar la lliçó faran un assaig de la cançó de l’excursió.,can_ó,cançó,ç,ca0e18ec78654512-84
"7. Copia les oracions i completa-les amb s, ss, c o ç",En acabar la lliçó faran un assaig de la cançó de l’excursió.,excur_ió,excursió,s,5543f6b059889564-85
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hem partit els pastissos a trossos pensant en els més voraços.,pasti__os,pastissos,ss,1f3d20fb2ce8139f-86
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hem partit els pastissos a trossos pensant en els més voraços.,tro__os,trossos,ss,75923aa934b67e91-87
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hem partit els pastissos a trossos pensant en els més voraços.,pen_ant,pensant,s,a4ab9839f82e5005-88
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hem partit els pastissos a trossos pensant en els més voraços.,vora_os,voraços,ç,a425477b3163213c-89
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hi ha comunicació quan l’emissor emet un missatge i el receptor l’entén.,comuni_ació,comunicació,c,9be1d9c56bd48a19-90
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hi ha comunicació quan l’emissor emet un missatge i el receptor l’entén.,emi__or,emissor,ss,959dd61ab871d3ea-91
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hi ha comunicació quan l’emissor emet un missatge i el receptor l’entén.,mi__atge,missatge,ss,c1231655931e2731-92
"7. Copia les oracions i completa-les amb s, ss, c o ç",Hi ha comunicació quan l’emissor emet un missatge i el receptor l’entén.,re_eptor,receptor,c,0ffa66e25446b245-93
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,pa__es,passes,ss,dd276a9a30bcd7d8-94
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,pa__adís,passadís,ss,6913773c8cc80e39-95
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,_entia,sentia,s,dbcbbdb696de105e-96
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,ven_ut,vençut,ç,727705abcacebd00-97
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,esfor_,esforç,ç,096e650af116f5dc-98
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,di__imulava,dissimulava,ss,bd81e3fd25fd72cc-99
"7. Copia les oracions i completa-les amb s, ss, c o ç",En donar quatre passes pel passadís se sentia vençut per l’esforç i dissimulava la seva depressió.,depre__ió,depressió,ss,8ff47125516d5a02-100
"7. Copia les oracions i completa-les amb s, ss, c o ç","Per carnestoltes, el carabassat i la sobrassada disfressen l’ensaïmada.",carne_toltes,carnestoltes,s,19c736632efd4289-101
"7. Copia les oracions i completa-les amb s, ss, c o ç","Per carnestoltes, el carabassat i la sobrassada disfressen l’ensaïmada.",caraba__at,carabassat,ss,bb8f90963c6cb53f-102
"7. Copia les oracions i completa-les amb s, ss, c o ç","Per carnestoltes, el carabassat i la sobrassada disfressen l’ensaïmada.",sobra__ada,sobrassada,ss,91e7ee68939240a7-103
"7. Copia les oracions i completa-les amb s, ss, c o ç","Per carnestoltes, el carabassat i la sobrassada disfressen l’ensaïmada.",disfre__en,disfressen,ss,752263d0cdad0f32-104
"7. Copia les oracions i completa-les amb s, ss, c o ç","Per carnestoltes, el carabassat i la sobrassada disfressen l’ensaïmada.",en_aïmada,ensaïmada,s,031a3ce6efa0ef48-105
"7. Copia les oracions i completa-les amb s, ss, c o ç",Estaven feliços perquè havien aprovat un examen de ciències dificilíssim.,feli_os,feliços,ç,29a6aaa08a5dad17-106
"7. Copia les oracions i completa-les amb s, ss, c o ç",Estaven feliços perquè havien aprovat un examen de ciències dificilíssim.,_ièn_ies,ciències,cc,8e9ee0dadf3595b9-107
"7. Copia les oracions i completa-les amb s, ss, c o ç",Estaven feliços perquè havien aprovat un examen de ciències dificilíssim.,difi_ilí__im,dificilíssim,css,39ab56ff294f0ae5-108
"7. Copia les oracions i completa-les amb s, ss, c o ç","Jo no vull que facis res que paregui impossible, però això que et deman és ben fàcil.",fa_is,facis,c,b238a35103c0adf3-109
"7. Copia les oracions i completa-les amb s, ss, c o ç","Jo no vull que facis res que paregui impossible, però això que et deman és ben fàcil.",impo__ible,impossible,ss,d1bba03b7f2c3113-110
"7. Copia les oracions i completa-les amb s, ss, c o ç","Jo no vull que facis res que paregui impossible, però això que et deman és ben fàcil.",fà_il,fàcil,c,7b635e780508f976-111
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,tro__os,trossos,ss,03f4a9895516d3d4-112
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,ma__ís,massís,ss,5da8daf7f877f75a-113
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,pla_a,plaça,ç,d7c41f85a7115a49-114
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,_inema,cinema,c,35cf3f7789a6eeb6-115
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,pro_essó,processó,c,04d2d8865d87e2c2-116
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,_entinella,sentinella,s,59a4e992272d5aa9-117
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,carni__era,carnissera,ss,9dbdb27d9c082bee-118
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,batlle__a,batllessa,ss,59d43a7edcd7531d-119
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,fero_,feroç,ç,b86f4919e41e010d-120
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,prome_a,promesa,s,49afb0e3291c5f00-121
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,pla_es,places,c,cb35fbb087ef6584-122
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,desguà_,desguàs,s,81a006549ce5a5d0-123
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,page_a,pagesa,s,f56c3dfd5a79e5fc-124
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,ama_ona,amazona,z,13991e4a0707ac46-125
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,duque__a,duquessa,ss,8776d61dc03ce629-126
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,tendre_a,tendresa,s,745c3f1c3e79a47a-127
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,cri_i,crisi,s,6e5a255f21c1d097-128
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,tra_ar,traçar,ç,5e7f75e90a9d7a9c-129
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,fa_e,fase,s,0cfe4ee3578a706e-130
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,_etrill,setrill,s,44437d1d8b757bd0-131
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,ba_tida,bastida,s,9979128043866eb9-132
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,feli_itat,felicitat,c,70f4eb931cf72978-133
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,esperan_a,esperança,ç,9236d64ce57039eb-134
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,estru_,estruç,ç,e9031f51a9e8e4f4-135
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,Suï__a,Suïssa,ss,8c3a5283ce70a321-136
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,_ona,zona,z,30c6b067c75ad5d3-137
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,velo_,veloç,ç,190f9e8382aefd95-138
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,fí_ica,física,s,09174ea41886604b-139
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,esmor_ar,esmorzar,z,f5c5be61b272cb58-140
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,proto_ou,protozou,z,8dfe5c8170701d51-141
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,marque_a,marquesa,s,71e6070d528c7f6c-142
8. Copia les paraules i omple’n els buits amb la grafia correcta,Copia les paraules i omple’n els buits amb la grafia correcta,prín_ep,príncep,c,982fd42c896ee45f-143
